pelatihan_id,kode_pelatihan,dibuat_oleh_admin_id,jenis_pelatihan_id,status_pelatihan_id,judul_pelatihan,deskripsi_pelatihan,mentor_nama,durasi_jam,total_modul,harga,akses_seumur_hidup,masa_akses_hari,rating_rata_rata,jumlah_alumni,thumbnail_url,syarat_ketentuan,tanggal_publish,is_deleted,deleted_at,archived_at,created_at,updated_at
PLT000026,PLT-2026-00026,ADM000159,JP02,PUBLISHED,Strategi Pemasaran Digital - Intensif,"Program gratis untuk membantu UMKM menyusun proyek nyata terkait strategi pemasaran digital - intensif. Peserta mengunggah tugas berbasis file seperti laporan, template, presentasi, atau dokumen praktik.",Sri Subianto,10,6,0,true,365,4.84,434,https://cdn.umkmtumbuh.local/training/plt000026.webp,"Peserta disarankan menyiapkan data usaha sederhana, foto produk, dan dokumen pendukung agar output pelatihan lebih aplikatif.",2024-07-15 12:13:46,false,,,2024-06-10 12:13:46,2024-09-22 12:13:46
PLT000027,PLT-2026-00027,ADM000189,JP03,ONGOING,Foto Produk dan Katalog Online - Terapan,Kelas gratis berbasis praktik untuk memperkuat kemampuan UMKM dalam foto produk dan katalog online - terapan. Setiap peserta diarahkan membuat output yang langsung dapat dipakai pada usahanya.,Tania Ramdani,4,6,0,false,90,4.21,499,https://cdn.umkmtumbuh.local/training/plt000027.webp,"Peserta wajib memiliki akun aktif, menyelesaikan modul inti, dan mengirimkan file proyek sesuai batas waktu yang ditentukan.",2024-10-02 03:16:36,false,,,2024-09-17 03:16:36,2024-11-03 03:16:36
PLT000028,PLT-2026-00028,ADM000197,JP04,PUBLISHED,Legalitas dan Dokumen Usaha - Praktis,Program pendampingan singkat untuk UMKM yang ingin menerapkan legalitas dan dokumen usaha - praktis secara praktis melalui modul bertahap dan unggahan tugas proyek.,Suhartini Wulandari,6,6,0,true,30,4.25,357,https://cdn.umkmtumbuh.local/training/plt000028.webp,Sertifikat diterbitkan setelah peserta menyelesaikan modul dan tugas file-upload yang telah direview.,2025-01-18 16:57:01,false,,,2025-01-12 16:57:01,2025-03-06 16:57:01
PLT000029,PLT-2026-00029,ADM000083,JP05,PUBLISHED,Persiapan Sertifikasi Halal - Mandiri,Program pendampingan singkat untuk UMKM yang ingin menerapkan persiapan sertifikasi halal - mandiri secara praktis melalui modul bertahap dan unggahan tugas proyek.,Rois Pawestri,10,8,0,false,60,4.70,309,https://cdn.umkmtumbuh.local/training/plt000029.webp,"Peserta disarankan menyiapkan data usaha sederhana, foto produk, dan dokumen pendukung agar output pelatihan lebih aplikatif.",2025-03-20 22:20:10,false,,,2025-02-15 22:20:10,2025-03-27 22:20:10
PLT000030,PLT-2026-00030,ADM000223,JP06,DRAFT,Pembukuan dan Harga Pokok Produksi - Praktis,"Pelatihan gratis dengan pendekatan studi kasus dan proyek. Materi pembukuan dan harga pokok produksi - praktis disusun agar peserta dapat menghasilkan dokumen kerja, portofolio, atau rencana implementasi.",Darsih Wibowo,5,4,0,true,60,,0,https://cdn.umkmtumbuh.local/training/plt000030.webp,"Peserta merupakan UMKM terdaftar, mengikuti modul sesuai urutan, dan mengunggah tugas proyek dalam format PDF/DOCX/XLSX/PPTX sesuai instruksi.",,false,,,2025-06-23 06:26:46,2025-09-27 06:26:46
PLT000031,PLT-2026-00031,ADM000029,JP07,ONGOING,Optimasi Marketplace - Kelas Proyek,Program pendampingan singkat untuk UMKM yang ingin menerapkan optimasi marketplace - kelas proyek secara praktis melalui modul bertahap dan unggahan tugas proyek.,Gita Rahmawati,3,4,0,false,365,4.14,403,https://cdn.umkmtumbuh.local/training/plt000031.webp,"Peserta wajib memiliki akun aktif, menyelesaikan modul inti, dan mengirimkan file proyek sesuai batas waktu yang ditentukan.",2025-09-17 14:41:38,false,,,2025-09-02 14:41:38,2025-09-27 14:41:38
PLT000032,PLT-2026-00032,ADM000111,JP08,PUBLISHED,Ekspor Pemula untuk Produk Lokal - Praktis,"Program gratis untuk membantu UMKM menyusun proyek nyata terkait ekspor pemula untuk produk lokal - praktis. Peserta mengunggah tugas berbasis file seperti laporan, template, presentasi, atau dokumen praktik.",Ahmad Suryani,7,7,0,true,180,4.34,511,https://cdn.umkmtumbuh.local/training/plt000032.webp,Sertifikat diterbitkan setelah peserta menyelesaikan modul dan tugas file-upload yang telah direview.,2024-07-09 08:15:14,false,,,2024-06-09 08:15:14,2024-07-24 08:15:14
PLT000033,PLT-2026-00033,ADM000150,JP09,ARCHIVED,Desain Kemasan dan Branding - Mandiri,Kelas gratis berbasis praktik untuk memperkuat kemampuan UMKM dalam desain kemasan dan branding - mandiri. Setiap peserta diarahkan membuat output yang langsung dapat dipakai pada usahanya.,Hendra Hapsari,14,8,0,true,30,4.71,1065,https://cdn.umkmtumbuh.local/training/plt000033.webp,"Peserta wajib memiliki akun aktif, menyelesaikan modul inti, dan mengirimkan file proyek sesuai batas waktu yang ditentukan.",2026-05-07 22:23:14,false,,2028-02-09 22:23:14,2026-04-02 22:23:14,2026-06-09 22:23:14
PLT000034,PLT-2026-00034,ADM000158,JP10,ONGOING,Customer Service dan Retensi Pelanggan - Mandiri,Program pendampingan singkat untuk UMKM yang ingin menerapkan customer service dan retensi pelanggan - mandiri secara praktis melalui modul bertahap dan unggahan tugas proyek.,Fajar Akmalin,4,5,0,true,30,4.66,98,https://cdn.umkmtumbuh.local/training/plt000034.webp,"Peserta merupakan UMKM terdaftar, mengikuti modul sesuai urutan, dan mengunggah tugas proyek dalam format PDF/DOCX/XLSX/PPTX sesuai instruksi.",2025-12-17 04:46:26,false,,,2025-12-06 04:46:26,2026-03-04 04:46:26
PLT000035,PLT-2026-00035,ADM000095,JP11,PUBLISHED,Operasional Produksi Efisien - Terapan,"Program gratis untuk membantu UMKM menyusun proyek nyata terkait operasional produksi efisien - terapan. Peserta mengunggah tugas berbasis file seperti laporan, template, presentasi, atau dokumen praktik.",Lestari Sulistyo,11,8,0,false,30,4.36,533,https://cdn.umkmtumbuh.local/training/plt000035.webp,"Peserta wajib memiliki akun aktif, menyelesaikan modul inti, dan mengirimkan file proyek sesuai batas waktu yang ditentukan.",2024-12-11 02:04:43,false,,,2024-11-02 02:04:43,2025-01-05 02:04:43
PLT000036,PLT-2026-00036,ADM000064,JP12,ONGOING,Branding UMKM dan Pitching - Mandiri,"Program gratis untuk membantu UMKM menyusun proyek nyata terkait branding umkm dan pitching - mandiri. Peserta mengunggah tugas berbasis file seperti laporan, template, presentasi, atau dokumen praktik.",Andi Gunawan,9,7,0,true,180,4.25,488,https://cdn.umkmtumbuh.local/training/plt000036.webp,Sertifikat diterbitkan setelah peserta menyelesaikan modul dan tugas file-upload yang telah direview.,2024-04-12 22:26:13,false,,,2024-04-02 22:26:13,2024-05-21 22:26:13
PLT000037,PLT-2026-00037,ADM000122,JP01,ONGOING,Pembukuan Praktis untuk UMKM - Batch UMKM,Kelas gratis berbasis praktik untuk memperkuat kemampuan UMKM dalam pembukuan praktis untuk umkm - batch umkm. Setiap peserta diarahkan membuat output yang langsung dapat dipakai pada usahanya.,Hana Prabawa,8,7,0,false,365,4.42,621,https://cdn.umkmtumbuh.local/training/plt000037.webp,"Peserta wajib memiliki akun aktif, menyelesaikan modul inti, dan mengirimkan file proyek sesuai batas waktu yang ditentukan.",2025-07-30 20:56:44,false,,,2025-06-25 20:56:44,2025-10-21 20:56:44
PLT000038,PLT-2026-00038,ADM000064,JP02,ONGOING,Strategi Pemasaran Digital - Intensif,"Pelatihan gratis dengan pendekatan studi kasus dan proyek. Materi strategi pemasaran digital - intensif disusun agar peserta dapat menghasilkan dokumen kerja, portofolio, atau rencana implementasi.",Vina Rahman,4,4,0,true,365,4.72,517,https://cdn.umkmtumbuh.local/training/plt000038.webp,"Peserta disarankan menyiapkan data usaha sederhana, foto produk, dan dokumen pendukung agar output pelatihan lebih aplikatif.",2025-12-15 02:20:39,false,,,2025-11-14 02:20:39,2025-12-20 02:20:39
PLT000039,PLT-2026-00039,ADM000070,JP03,PUBLISHED,Foto Produk dan Katalog Online - Terapan,Program pendampingan singkat untuk UMKM yang ingin menerapkan foto produk dan katalog online - terapan secara praktis melalui modul bertahap dan unggahan tugas proyek.,Mega Hidayat,10,7,0,true,30,4.39,412,https://cdn.umkmtumbuh.local/training/plt000039.webp,"Peserta wajib memiliki akun aktif, menyelesaikan modul inti, dan mengirimkan file proyek sesuai batas waktu yang ditentukan.",2025-02-25 15:39:00,false,,,2025-01-20 15:39:00,2025-04-06 15:39:00
PLT000040,PLT-2026-00040,ADM000061,JP04,ONGOING,Legalitas dan Dokumen Usaha - Batch UMKM,"Program gratis untuk membantu UMKM menyusun proyek nyata terkait legalitas dan dokumen usaha - batch umkm. Peserta mengunggah tugas berbasis file seperti laporan, template, presentasi, atau dokumen praktik.",Fikri Cahyani,5,4,0,true,30,4.69,755,https://cdn.umkmtumbuh.local/training/plt000040.webp,Sertifikat diterbitkan setelah peserta menyelesaikan modul dan tugas file-upload yang telah direview.,2026-01-06 23:00:49,false,,,2025-12-12 23:00:49,2026-03-02 23:00:49
PLT000041,PLT-2026-00041,ADM000159,JP05,PUBLISHED,Persiapan Sertifikasi Halal - Pemula,"Program gratis untuk membantu UMKM menyusun proyek nyata terkait persiapan sertifikasi halal - pemula. Peserta mengunggah tugas berbasis file seperti laporan, template, presentasi, atau dokumen praktik.",Rambat Basuki,8,8,0,true,60,4.62,1042,https://cdn.umkmtumbuh.local/training/plt000041.webp,"Peserta merupakan UMKM terdaftar, mengikuti modul sesuai urutan, dan mengunggah tugas proyek dalam format PDF/DOCX/XLSX/PPTX sesuai instruksi.",2025-08-25 07:43:24,false,,,2025-08-02 07:43:24,2025-08-31 07:43:24
PLT000042,PLT-2026-00042,ADM000137,JP06,DRAFT,Pembukuan dan Harga Pokok Produksi - Terapan,Program pendampingan singkat untuk UMKM yang ingin menerapkan pembukuan dan harga pokok produksi - terapan secara praktis melalui modul bertahap dan unggahan tugas proyek.,Prayuda Manggala,6,8,0,true,90,,0,https://cdn.umkmtumbuh.local/training/plt000042.webp,Sertifikat diterbitkan setelah peserta menyelesaikan modul dan tugas file-upload yang telah direview.,,false,,,2024-07-05 17:01:45,2024-07-18 17:01:45
PLT000043,PLT-2026-00043,ADM000012,JP07,PUBLISHED,Optimasi Marketplace - Terapan,"Program gratis untuk membantu UMKM menyusun proyek nyata terkait optimasi marketplace - terapan. Peserta mengunggah tugas berbasis file seperti laporan, template, presentasi, atau dokumen praktik.",Dhea Kusuma,7,5,0,true,60,4.13,642,https://cdn.umkmtumbuh.local/training/plt000043.webp,"Peserta disarankan menyiapkan data usaha sederhana, foto produk, dan dokumen pendukung agar output pelatihan lebih aplikatif.",2026-02-14 09:10:29,false,,,2026-01-09 09:10:29,2026-04-05 09:10:29
PLT000044,PLT-2026-00044,ADM000068,JP08,DRAFT,Ekspor Pemula untuk Produk Lokal - Kelas Proyek,"Program gratis untuk membantu UMKM menyusun proyek nyata terkait ekspor pemula untuk produk lokal - kelas proyek. Peserta mengunggah tugas berbasis file seperti laporan, template, presentasi, atau dokumen praktik.",Yoga Azzahra,3,4,0,true,90,,0,https://cdn.umkmtumbuh.local/training/plt000044.webp,"Peserta disarankan menyiapkan data usaha sederhana, foto produk, dan dokumen pendukung agar output pelatihan lebih aplikatif.",,false,,,2026-01-10 09:14:02,2026-03-06 09:14:02
PLT000045,PLT-2026-00045,ADM000146,JP09,ONGOING,Desain Kemasan dan Branding - Mandiri,"Pelatihan gratis dengan pendekatan studi kasus dan proyek. Materi desain kemasan dan branding - mandiri disusun agar peserta dapat menghasilkan dokumen kerja, portofolio, atau rencana implementasi.",Yuni Anggraini,9,6,0,true,365,4.11,358,https://cdn.umkmtumbuh.local/training/plt000045.webp,"Peserta disarankan menyiapkan data usaha sederhana, foto produk, dan dokumen pendukung agar output pelatihan lebih aplikatif.",2025-03-14 15:01:16,false,,,2025-03-02 15:01:16,2025-05-18 15:01:16
PLT000046,PLT-2026-00046,ADM000035,JP10,ONGOING,Customer Service dan Retensi Pelanggan - Batch UMKM,"Pelatihan gratis dengan pendekatan studi kasus dan proyek. Materi customer service dan retensi pelanggan - batch umkm disusun agar peserta dapat menghasilkan dokumen kerja, portofolio, atau rencana implementasi.",Febri Wijayanti,4,4,0,true,365,4.86,313,https://cdn.umkmtumbuh.local/training/plt000046.webp,"Peserta wajib memiliki akun aktif, menyelesaikan modul inti, dan mengirimkan file proyek sesuai batas waktu yang ditentukan.",2024-10-19 18:49:33,false,,,2024-09-14 18:49:33,2024-10-31 18:49:33
