modul_id,pelatihan_id,urutan_modul,judul_modul,deskripsi_modul,durasi_menit,materi_url,is_preview,status_aktif,created_at
MOD000011,PLT000003,2,2. Angle foto produk,Modul angle foto produk berisi panduan langkah demi langkah dan contoh output yang bisa diadaptasi peserta.,42,https://cdn.umkmtumbuh.local/materi/plt000003/modul-2.pdf,false,true,2025-06-24 13:31:25
MOD000012,PLT000003,3,3. Editing ringan,Pembahasan editing ringan menggunakan studi kasus usaha kecil dan template kerja sederhana.,49,https://cdn.umkmtumbuh.local/materi/plt000003/modul-3.pdf,false,true,2025-06-24 13:31:25
MOD000013,PLT000003,4,4. Katalog marketplace,Materi praktik tentang katalog marketplace dengan contoh penerapan langsung pada UMKM.,56,https://cdn.umkmtumbuh.local/materi/plt000003/modul-4.pdf,false,true,2025-06-24 13:31:25
MOD000014,PLT000003,5,5. Pencahayaan dasar,Materi praktik tentang pencahayaan dasar dengan contoh penerapan langsung pada UMKM.,63,https://cdn.umkmtumbuh.local/materi/plt000003/modul-5.pdf,false,true,2025-06-24 13:31:25
MOD000015,PLT000003,6,6. Angle foto produk,Pembahasan angle foto produk menggunakan studi kasus usaha kecil dan template kerja sederhana.,70,https://cdn.umkmtumbuh.local/materi/plt000003/modul-6.pdf,false,true,2025-06-24 13:31:25
MOD000016,PLT000003,7,7. Editing ringan,Materi praktik tentang editing ringan dengan contoh penerapan langsung pada UMKM.,22,https://cdn.umkmtumbuh.local/materi/plt000003/modul-7.pdf,false,true,2025-06-24 13:31:25
MOD000017,PLT000004,1,1. NIB dan OSS,Materi praktik tentang nib dan oss dengan contoh penerapan langsung pada UMKM.,29,https://cdn.umkmtumbuh.local/materi/plt000004/modul-1.pdf,true,true,2024-06-26 21:18:32
MOD000018,PLT000004,2,2. NPWP usaha,Modul npwp usaha berisi panduan langkah demi langkah dan contoh output yang bisa diadaptasi peserta.,36,https://cdn.umkmtumbuh.local/materi/plt000004/modul-2.pdf,false,true,2024-06-26 21:18:32
MOD000019,PLT000004,3,3. Merek dagang,Materi praktik tentang merek dagang dengan contoh penerapan langsung pada UMKM.,43,https://cdn.umkmtumbuh.local/materi/plt000004/modul-3.pdf,false,true,2024-06-26 21:18:32
MOD000020,PLT000004,4,4. Dokumen administrasi,Materi praktik tentang dokumen administrasi dengan contoh penerapan langsung pada UMKM.,50,https://cdn.umkmtumbuh.local/materi/plt000004/modul-4.pdf,false,true,2024-06-26 21:18:32
MOD000021,PLT000005,1,1. Kebijakan halal,Pembahasan kebijakan halal menggunakan studi kasus usaha kecil dan template kerja sederhana.,57,https://cdn.umkmtumbuh.local/materi/plt000005/modul-1.pdf,true,true,2025-12-28 23:14:27
MOD000022,PLT000005,2,2. Alur produksi,Modul alur produksi berisi panduan langkah demi langkah dan contoh output yang bisa diadaptasi peserta.,64,https://cdn.umkmtumbuh.local/materi/plt000005/modul-2.pdf,false,true,2025-12-28 23:14:27
MOD000023,PLT000005,3,3. Bahan dan pemasok,Materi praktik tentang bahan dan pemasok dengan contoh penerapan langsung pada UMKM.,71,https://cdn.umkmtumbuh.local/materi/plt000005/modul-3.pdf,false,true,2025-12-28 23:14:27
MOD000024,PLT000005,4,4. Dokumen SJPH,Pembahasan dokumen sjph menggunakan studi kasus usaha kecil dan template kerja sederhana.,23,https://cdn.umkmtumbuh.local/materi/plt000005/modul-4.pdf,false,true,2025-12-28 23:14:27
MOD000025,PLT000005,5,5. Kebijakan halal,Pembahasan kebijakan halal menggunakan studi kasus usaha kecil dan template kerja sederhana.,30,https://cdn.umkmtumbuh.local/materi/plt000005/modul-5.pdf,false,true,2025-12-28 23:14:27
MOD000026,PLT000006,1,1. Biaya bahan baku,Materi praktik tentang biaya bahan baku dengan contoh penerapan langsung pada UMKM.,37,https://cdn.umkmtumbuh.local/materi/plt000006/modul-1.pdf,true,true,2025-02-17 03:22:37
MOD000027,PLT000006,2,2. Biaya tenaga kerja,Modul biaya tenaga kerja berisi panduan langkah demi langkah dan contoh output yang bisa diadaptasi peserta.,44,https://cdn.umkmtumbuh.local/materi/plt000006/modul-2.pdf,false,true,2025-02-17 03:22:37
MOD000028,PLT000006,3,3. Overhead,Materi praktik tentang overhead dengan contoh penerapan langsung pada UMKM.,51,https://cdn.umkmtumbuh.local/materi/plt000006/modul-3.pdf,false,true,2025-02-17 03:22:37
MOD000029,PLT000006,4,4. Penentuan harga jual,Materi praktik tentang penentuan harga jual dengan contoh penerapan langsung pada UMKM.,58,https://cdn.umkmtumbuh.local/materi/plt000006/modul-4.pdf,false,true,2025-02-17 03:22:37
MOD000030,PLT000006,5,5. Biaya bahan baku,Pembahasan biaya bahan baku menggunakan studi kasus usaha kecil dan template kerja sederhana.,65,https://cdn.umkmtumbuh.local/materi/plt000006/modul-5.pdf,false,true,2025-02-17 03:22:37
MOD000031,PLT000006,6,6. Biaya tenaga kerja,Pembahasan biaya tenaga kerja menggunakan studi kasus usaha kecil dan template kerja sederhana.,72,https://cdn.umkmtumbuh.local/materi/plt000006/modul-6.pdf,false,true,2025-02-17 03:22:37
MOD000032,PLT000006,7,7. Overhead,Pembahasan overhead menggunakan studi kasus usaha kecil dan template kerja sederhana.,24,https://cdn.umkmtumbuh.local/materi/plt000006/modul-7.pdf,false,true,2025-02-17 03:22:37
MOD000033,PLT000007,1,1. Judul produk,Modul judul produk berisi panduan langkah demi langkah dan contoh output yang bisa diadaptasi peserta.,31,https://cdn.umkmtumbuh.local/materi/plt000007/modul-1.pdf,true,true,2024-09-13 04:23:12
MOD000034,PLT000007,2,2. Deskripsi SEO,Pembahasan deskripsi seo menggunakan studi kasus usaha kecil dan template kerja sederhana.,38,https://cdn.umkmtumbuh.local/materi/plt000007/modul-2.pdf,false,true,2024-09-13 04:23:12
MOD000035,PLT000007,3,3. Voucher dan promosi,Pembahasan voucher dan promosi menggunakan studi kasus usaha kecil dan template kerja sederhana.,45,https://cdn.umkmtumbuh.local/materi/plt000007/modul-3.pdf,false,true,2024-09-13 04:23:12
MOD000036,PLT000007,4,4. Manajemen rating,Materi praktik tentang manajemen rating dengan contoh penerapan langsung pada UMKM.,52,https://cdn.umkmtumbuh.local/materi/plt000007/modul-4.pdf,false,true,2024-09-13 04:23:12
MOD000037,PLT000008,1,1. Kurasi produk ekspor,Modul kurasi produk ekspor berisi panduan langkah demi langkah dan contoh output yang bisa diadaptasi peserta.,59,https://cdn.umkmtumbuh.local/materi/plt000008/modul-1.pdf,true,true,2024-06-24 05:21:21
MOD000038,PLT000008,2,2. Dokumen ekspor,Pembahasan dokumen ekspor menggunakan studi kasus usaha kecil dan template kerja sederhana.,66,https://cdn.umkmtumbuh.local/materi/plt000008/modul-2.pdf,false,true,2024-06-24 05:21:21
MOD000039,PLT000008,3,3. Kemasan pengiriman,Pembahasan kemasan pengiriman menggunakan studi kasus usaha kecil dan template kerja sederhana.,73,https://cdn.umkmtumbuh.local/materi/plt000008/modul-3.pdf,false,true,2024-06-24 05:21:21
MOD000040,PLT000008,4,4. Riset negara tujuan,Materi praktik tentang riset negara tujuan dengan contoh penerapan langsung pada UMKM.,25,https://cdn.umkmtumbuh.local/materi/plt000008/modul-4.pdf,false,true,2024-06-24 05:21:21
MOD000041,PLT000009,1,1. Identitas merek,Pembahasan identitas merek menggunakan studi kasus usaha kecil dan template kerja sederhana.,32,https://cdn.umkmtumbuh.local/materi/plt000009/modul-1.pdf,true,true,2024-12-28 06:14:29
MOD000042,PLT000009,2,2. Label produk,Modul label produk berisi panduan langkah demi langkah dan contoh output yang bisa diadaptasi peserta.,39,https://cdn.umkmtumbuh.local/materi/plt000009/modul-2.pdf,false,true,2024-12-28 06:14:29
MOD000043,PLT000009,3,3. Informasi kemasan,Materi praktik tentang informasi kemasan dengan contoh penerapan langsung pada UMKM.,46,https://cdn.umkmtumbuh.local/materi/plt000009/modul-3.pdf,false,true,2024-12-28 06:14:29
MOD000044,PLT000009,4,4. Mockup kemasan,Pembahasan mockup kemasan menggunakan studi kasus usaha kecil dan template kerja sederhana.,53,https://cdn.umkmtumbuh.local/materi/plt000009/modul-4.pdf,false,true,2024-12-28 06:14:29
MOD000045,PLT000009,5,5. Identitas merek,Modul identitas merek berisi panduan langkah demi langkah dan contoh output yang bisa diadaptasi peserta.,60,https://cdn.umkmtumbuh.local/materi/plt000009/modul-5.pdf,false,true,2024-12-28 06:14:29
MOD000046,PLT000009,6,6. Label produk,Pembahasan label produk menggunakan studi kasus usaha kecil dan template kerja sederhana.,67,https://cdn.umkmtumbuh.local/materi/plt000009/modul-6.pdf,false,true,2024-12-28 06:14:29
MOD000047,PLT000009,7,7. Informasi kemasan,Pembahasan informasi kemasan menggunakan studi kasus usaha kecil dan template kerja sederhana.,74,https://cdn.umkmtumbuh.local/materi/plt000009/modul-7.pdf,false,true,2024-12-28 06:14:29
MOD000048,PLT000009,8,8. Mockup kemasan,Materi praktik tentang mockup kemasan dengan contoh penerapan langsung pada UMKM.,26,https://cdn.umkmtumbuh.local/materi/plt000009/modul-8.pdf,false,true,2024-12-28 06:14:29
MOD000049,PLT000010,1,1. SOP respon pelanggan,Pembahasan sop respon pelanggan menggunakan studi kasus usaha kecil dan template kerja sederhana.,33,https://cdn.umkmtumbuh.local/materi/plt000010/modul-1.pdf,true,true,2025-11-27 01:16:43
MOD000050,PLT000010,2,2. Komplain pelanggan,Materi praktik tentang komplain pelanggan dengan contoh penerapan langsung pada UMKM.,40,https://cdn.umkmtumbuh.local/materi/plt000010/modul-2.pdf,false,true,2025-11-27 01:16:43
MOD000051,PLT000010,3,3. Database pelanggan,Modul database pelanggan berisi panduan langkah demi langkah dan contoh output yang bisa diadaptasi peserta.,47,https://cdn.umkmtumbuh.local/materi/plt000010/modul-3.pdf,false,true,2025-11-27 01:16:43
MOD000052,PLT000010,4,4. Program loyalitas,Modul program loyalitas berisi panduan langkah demi langkah dan contoh output yang bisa diadaptasi peserta.,54,https://cdn.umkmtumbuh.local/materi/plt000010/modul-4.pdf,false,true,2025-11-27 01:16:43
MOD000053,PLT000010,5,5. SOP respon pelanggan,Modul sop respon pelanggan berisi panduan langkah demi langkah dan contoh output yang bisa diadaptasi peserta.,61,https://cdn.umkmtumbuh.local/materi/plt000010/modul-5.pdf,false,true,2025-11-27 01:16:43
MOD000054,PLT000010,6,6. Komplain pelanggan,Modul komplain pelanggan berisi panduan langkah demi langkah dan contoh output yang bisa diadaptasi peserta.,68,https://cdn.umkmtumbuh.local/materi/plt000010/modul-6.pdf,false,true,2025-11-27 01:16:43
MOD000055,PLT000010,7,7. Database pelanggan,Pembahasan database pelanggan menggunakan studi kasus usaha kecil dan template kerja sederhana.,20,https://cdn.umkmtumbuh.local/materi/plt000010/modul-7.pdf,false,true,2025-11-27 01:16:43
MOD000056,PLT000010,8,8. Program loyalitas,Pembahasan program loyalitas menggunakan studi kasus usaha kecil dan template kerja sederhana.,27,https://cdn.umkmtumbuh.local/materi/plt000010/modul-8.pdf,false,true,2025-11-27 01:16:43
MOD000057,PLT000011,1,1. SOP produksi,Materi praktik tentang sop produksi dengan contoh penerapan langsung pada UMKM.,34,https://cdn.umkmtumbuh.local/materi/plt000011/modul-1.pdf,true,true,2024-11-27 04:57:03
MOD000058,PLT000011,2,2. Kontrol kualitas,Materi praktik tentang kontrol kualitas dengan contoh penerapan langsung pada UMKM.,41,https://cdn.umkmtumbuh.local/materi/plt000011/modul-2.pdf,false,true,2024-11-27 04:57:03
MOD000059,PLT000011,3,3. Stok bahan baku,Materi praktik tentang stok bahan baku dengan contoh penerapan langsung pada UMKM.,48,https://cdn.umkmtumbuh.local/materi/plt000011/modul-3.pdf,false,true,2024-11-27 04:57:03
MOD000060,PLT000011,4,4. Pengurangan waste,Materi praktik tentang pengurangan waste dengan contoh penerapan langsung pada UMKM.,55,https://cdn.umkmtumbuh.local/materi/plt000011/modul-4.pdf,false,true,2024-11-27 04:57:03
MOD000061,PLT000011,5,5. SOP produksi,Materi praktik tentang sop produksi dengan contoh penerapan langsung pada UMKM.,62,https://cdn.umkmtumbuh.local/materi/plt000011/modul-5.pdf,false,true,2024-11-27 04:57:03
MOD000062,PLT000011,6,6. Kontrol kualitas,Materi praktik tentang kontrol kualitas dengan contoh penerapan langsung pada UMKM.,69,https://cdn.umkmtumbuh.local/materi/plt000011/modul-6.pdf,false,true,2024-11-27 04:57:03
MOD000063,PLT000011,7,7. Stok bahan baku,Materi praktik tentang stok bahan baku dengan contoh penerapan langsung pada UMKM.,21,https://cdn.umkmtumbuh.local/materi/plt000011/modul-7.pdf,false,true,2024-11-27 04:57:03
MOD000064,PLT000011,8,8. Pengurangan waste,Pembahasan pengurangan waste menggunakan studi kasus usaha kecil dan template kerja sederhana.,28,https://cdn.umkmtumbuh.local/materi/plt000011/modul-8.pdf,false,true,2024-11-27 04:57:03
MOD000065,PLT000012,1,1. Storytelling usaha,Pembahasan storytelling usaha menggunakan studi kasus usaha kecil dan template kerja sederhana.,35,https://cdn.umkmtumbuh.local/materi/plt000012/modul-1.pdf,true,true,2025-08-17 17:25:11
MOD000066,PLT000012,2,2. Unique selling point,Pembahasan unique selling point menggunakan studi kasus usaha kecil dan template kerja sederhana.,42,https://cdn.umkmtumbuh.local/materi/plt000012/modul-2.pdf,false,true,2025-08-17 17:25:11
MOD000067,PLT000012,3,3. Pitch deck,Modul pitch deck berisi panduan langkah demi langkah dan contoh output yang bisa diadaptasi peserta.,49,https://cdn.umkmtumbuh.local/materi/plt000012/modul-3.pdf,false,true,2025-08-17 17:25:11
MOD000068,PLT000012,4,4. Simulasi presentasi,Modul simulasi presentasi berisi panduan langkah demi langkah dan contoh output yang bisa diadaptasi peserta.,56,https://cdn.umkmtumbuh.local/materi/plt000012/modul-4.pdf,false,true,2025-08-17 17:25:11
MOD000069,PLT000013,1,1. Dasar arus kas,Modul dasar arus kas berisi panduan langkah demi langkah dan contoh output yang bisa diadaptasi peserta.,63,https://cdn.umkmtumbuh.local/materi/plt000013/modul-1.pdf,true,true,2024-12-12 15:19:57
MOD000070,PLT000013,2,2. Pencatatan transaksi harian,Materi praktik tentang pencatatan transaksi harian dengan contoh penerapan langsung pada UMKM.,70,https://cdn.umkmtumbuh.local/materi/plt000013/modul-2.pdf,false,true,2024-12-12 15:19:57
MOD000071,PLT000013,3,3. Laporan laba rugi sederhana,Modul laporan laba rugi sederhana berisi panduan langkah demi langkah dan contoh output yang bisa diadaptasi peserta.,22,https://cdn.umkmtumbuh.local/materi/plt000013/modul-3.pdf,false,true,2024-12-12 15:19:57
MOD000072,PLT000013,4,4. Evaluasi margin usaha,Materi praktik tentang evaluasi margin usaha dengan contoh penerapan langsung pada UMKM.,29,https://cdn.umkmtumbuh.local/materi/plt000013/modul-4.pdf,false,true,2024-12-12 15:19:57
MOD000073,PLT000013,5,5. Dasar arus kas,Pembahasan dasar arus kas menggunakan studi kasus usaha kecil dan template kerja sederhana.,36,https://cdn.umkmtumbuh.local/materi/plt000013/modul-5.pdf,false,true,2024-12-12 15:19:57
MOD000074,PLT000013,6,6. Pencatatan transaksi harian,Pembahasan pencatatan transaksi harian menggunakan studi kasus usaha kecil dan template kerja sederhana.,43,https://cdn.umkmtumbuh.local/materi/plt000013/modul-6.pdf,false,true,2024-12-12 15:19:57
MOD000075,PLT000013,7,7. Laporan laba rugi sederhana,Modul laporan laba rugi sederhana berisi panduan langkah demi langkah dan contoh output yang bisa diadaptasi peserta.,50,https://cdn.umkmtumbuh.local/materi/plt000013/modul-7.pdf,false,true,2024-12-12 15:19:57
MOD000076,PLT000013,8,8. Evaluasi margin usaha,Pembahasan evaluasi margin usaha menggunakan studi kasus usaha kecil dan template kerja sederhana.,57,https://cdn.umkmtumbuh.local/materi/plt000013/modul-8.pdf,false,true,2024-12-12 15:19:57
MOD000077,PLT000014,1,1. Segmentasi pelanggan,Modul segmentasi pelanggan berisi panduan langkah demi langkah dan contoh output yang bisa diadaptasi peserta.,64,https://cdn.umkmtumbuh.local/materi/plt000014/modul-1.pdf,true,true,2025-05-17 10:29:48
MOD000078,PLT000014,2,2. Konten Instagram dan TikTok,Modul konten instagram dan tiktok berisi panduan langkah demi langkah dan contoh output yang bisa diadaptasi peserta.,71,https://cdn.umkmtumbuh.local/materi/plt000014/modul-2.pdf,false,true,2025-05-17 10:29:48
MOD000079,PLT000014,3,3. Kalender promosi,Pembahasan kalender promosi menggunakan studi kasus usaha kecil dan template kerja sederhana.,23,https://cdn.umkmtumbuh.local/materi/plt000014/modul-3.pdf,false,true,2025-05-17 10:29:48
MOD000080,PLT000014,4,4. Evaluasi metrik kampanye,Modul evaluasi metrik kampanye berisi panduan langkah demi langkah dan contoh output yang bisa diadaptasi peserta.,30,https://cdn.umkmtumbuh.local/materi/plt000014/modul-4.pdf,false,true,2025-05-17 10:29:48
MOD000081,PLT000014,5,5. Segmentasi pelanggan,Pembahasan segmentasi pelanggan menggunakan studi kasus usaha kecil dan template kerja sederhana.,37,https://cdn.umkmtumbuh.local/materi/plt000014/modul-5.pdf,false,true,2025-05-17 10:29:48
MOD000082,PLT000014,6,6. Konten Instagram dan TikTok,Modul konten instagram dan tiktok berisi panduan langkah demi langkah dan contoh output yang bisa diadaptasi peserta.,44,https://cdn.umkmtumbuh.local/materi/plt000014/modul-6.pdf,false,true,2025-05-17 10:29:48
MOD000083,PLT000015,1,1. Pencahayaan dasar,Materi praktik tentang pencahayaan dasar dengan contoh penerapan langsung pada UMKM.,51,https://cdn.umkmtumbuh.local/materi/plt000015/modul-1.pdf,true,true,2024-11-29 09:04:10
MOD000084,PLT000015,2,2. Angle foto produk,Modul angle foto produk berisi panduan langkah demi langkah dan contoh output yang bisa diadaptasi peserta.,58,https://cdn.umkmtumbuh.local/materi/plt000015/modul-2.pdf,false,true,2024-11-29 09:04:10
MOD000085,PLT000015,3,3. Editing ringan,Materi praktik tentang editing ringan dengan contoh penerapan langsung pada UMKM.,65,https://cdn.umkmtumbuh.local/materi/plt000015/modul-3.pdf,false,true,2024-11-29 09:04:10
MOD000086,PLT000015,4,4. Katalog marketplace,Modul katalog marketplace berisi panduan langkah demi langkah dan contoh output yang bisa diadaptasi peserta.,72,https://cdn.umkmtumbuh.local/materi/plt000015/modul-4.pdf,false,true,2024-11-29 09:04:10
MOD000087,PLT000016,1,1. NIB dan OSS,Pembahasan nib dan oss menggunakan studi kasus usaha kecil dan template kerja sederhana.,24,https://cdn.umkmtumbuh.local/materi/plt000016/modul-1.pdf,true,true,2025-02-09 20:32:11
MOD000088,PLT000016,2,2. NPWP usaha,Pembahasan npwp usaha menggunakan studi kasus usaha kecil dan template kerja sederhana.,31,https://cdn.umkmtumbuh.local/materi/plt000016/modul-2.pdf,false,true,2025-02-09 20:32:11
MOD000089,PLT000016,3,3. Merek dagang,Materi praktik tentang merek dagang dengan contoh penerapan langsung pada UMKM.,38,https://cdn.umkmtumbuh.local/materi/plt000016/modul-3.pdf,false,true,2025-02-09 20:32:11
MOD000090,PLT000016,4,4. Dokumen administrasi,Modul dokumen administrasi berisi panduan langkah demi langkah dan contoh output yang bisa diadaptasi peserta.,45,https://cdn.umkmtumbuh.local/materi/plt000016/modul-4.pdf,false,true,2025-02-09 20:32:11
MOD000091,PLT000017,1,1. Kebijakan halal,Pembahasan kebijakan halal menggunakan studi kasus usaha kecil dan template kerja sederhana.,52,https://cdn.umkmtumbuh.local/materi/plt000017/modul-1.pdf,true,true,2024-07-19 16:54:15
MOD000092,PLT000017,2,2. Alur produksi,Pembahasan alur produksi menggunakan studi kasus usaha kecil dan template kerja sederhana.,59,https://cdn.umkmtumbuh.local/materi/plt000017/modul-2.pdf,false,true,2024-07-19 16:54:15
MOD000093,PLT000017,3,3. Bahan dan pemasok,Materi praktik tentang bahan dan pemasok dengan contoh penerapan langsung pada UMKM.,66,https://cdn.umkmtumbuh.local/materi/plt000017/modul-3.pdf,false,true,2024-07-19 16:54:15
MOD000094,PLT000017,4,4. Dokumen SJPH,Modul dokumen sjph berisi panduan langkah demi langkah dan contoh output yang bisa diadaptasi peserta.,73,https://cdn.umkmtumbuh.local/materi/plt000017/modul-4.pdf,false,true,2024-07-19 16:54:15
MOD000095,PLT000017,5,5. Kebijakan halal,Pembahasan kebijakan halal menggunakan studi kasus usaha kecil dan template kerja sederhana.,25,https://cdn.umkmtumbuh.local/materi/plt000017/modul-5.pdf,false,true,2024-07-19 16:54:15
MOD000096,PLT000017,6,6. Alur produksi,Materi praktik tentang alur produksi dengan contoh penerapan langsung pada UMKM.,32,https://cdn.umkmtumbuh.local/materi/plt000017/modul-6.pdf,false,true,2024-07-19 16:54:15
MOD000097,PLT000017,7,7. Bahan dan pemasok,Pembahasan bahan dan pemasok menggunakan studi kasus usaha kecil dan template kerja sederhana.,39,https://cdn.umkmtumbuh.local/materi/plt000017/modul-7.pdf,false,true,2024-07-19 16:54:15
MOD000098,PLT000017,8,8. Dokumen SJPH,Pembahasan dokumen sjph menggunakan studi kasus usaha kecil dan template kerja sederhana.,46,https://cdn.umkmtumbuh.local/materi/plt000017/modul-8.pdf,false,true,2024-07-19 16:54:15
MOD000099,PLT000018,1,1. Biaya bahan baku,Materi praktik tentang biaya bahan baku dengan contoh penerapan langsung pada UMKM.,53,https://cdn.umkmtumbuh.local/materi/plt000018/modul-1.pdf,true,true,2024-09-25 19:12:52
MOD000100,PLT000018,2,2. Biaya tenaga kerja,Modul biaya tenaga kerja berisi panduan langkah demi langkah dan contoh output yang bisa diadaptasi peserta.,60,https://cdn.umkmtumbuh.local/materi/plt000018/modul-2.pdf,false,true,2024-09-25 19:12:52
MOD000101,PLT000018,3,3. Overhead,Materi praktik tentang overhead dengan contoh penerapan langsung pada UMKM.,67,https://cdn.umkmtumbuh.local/materi/plt000018/modul-3.pdf,false,true,2024-09-25 19:12:52
MOD000102,PLT000018,4,4. Penentuan harga jual,Materi praktik tentang penentuan harga jual dengan contoh penerapan langsung pada UMKM.,74,https://cdn.umkmtumbuh.local/materi/plt000018/modul-4.pdf,false,true,2024-09-25 19:12:52
MOD000103,PLT000018,5,5. Biaya bahan baku,Pembahasan biaya bahan baku menggunakan studi kasus usaha kecil dan template kerja sederhana.,26,https://cdn.umkmtumbuh.local/materi/plt000018/modul-5.pdf,false,true,2024-09-25 19:12:52
MOD000104,PLT000018,6,6. Biaya tenaga kerja,Materi praktik tentang biaya tenaga kerja dengan contoh penerapan langsung pada UMKM.,33,https://cdn.umkmtumbuh.local/materi/plt000018/modul-6.pdf,false,true,2024-09-25 19:12:52
MOD000105,PLT000019,1,1. Judul produk,Modul judul produk berisi panduan langkah demi langkah dan contoh output yang bisa diadaptasi peserta.,40,https://cdn.umkmtumbuh.local/materi/plt000019/modul-1.pdf,true,true,2026-02-07 14:59:38
MOD000106,PLT000019,2,2. Deskripsi SEO,Modul deskripsi seo berisi panduan langkah demi langkah dan contoh output yang bisa diadaptasi peserta.,47,https://cdn.umkmtumbuh.local/materi/plt000019/modul-2.pdf,false,true,2026-02-07 14:59:38
MOD000107,PLT000019,3,3. Voucher dan promosi,Materi praktik tentang voucher dan promosi dengan contoh penerapan langsung pada UMKM.,54,https://cdn.umkmtumbuh.local/materi/plt000019/modul-3.pdf,false,true,2026-02-07 14:59:38
MOD000108,PLT000019,4,4. Manajemen rating,Pembahasan manajemen rating menggunakan studi kasus usaha kecil dan template kerja sederhana.,61,https://cdn.umkmtumbuh.local/materi/plt000019/modul-4.pdf,false,true,2026-02-07 14:59:38
MOD000109,PLT000019,5,5. Judul produk,Pembahasan judul produk menggunakan studi kasus usaha kecil dan template kerja sederhana.,68,https://cdn.umkmtumbuh.local/materi/plt000019/modul-5.pdf,false,true,2026-02-07 14:59:38
MOD000110,PLT000019,6,6. Deskripsi SEO,Materi praktik tentang deskripsi seo dengan contoh penerapan langsung pada UMKM.,20,https://cdn.umkmtumbuh.local/materi/plt000019/modul-6.pdf,false,true,2026-02-07 14:59:38
MOD000111,PLT000019,7,7. Voucher dan promosi,Materi praktik tentang voucher dan promosi dengan contoh penerapan langsung pada UMKM.,27,https://cdn.umkmtumbuh.local/materi/plt000019/modul-7.pdf,false,true,2026-02-07 14:59:38
MOD000112,PLT000019,8,8. Manajemen rating,Modul manajemen rating berisi panduan langkah demi langkah dan contoh output yang bisa diadaptasi peserta.,34,https://cdn.umkmtumbuh.local/materi/plt000019/modul-8.pdf,false,true,2026-02-07 14:59:38
MOD000113,PLT000020,1,1. Kurasi produk ekspor,Materi praktik tentang kurasi produk ekspor dengan contoh penerapan langsung pada UMKM.,41,https://cdn.umkmtumbuh.local/materi/plt000020/modul-1.pdf,true,true,2025-03-21 23:56:28
MOD000114,PLT000020,2,2. Dokumen ekspor,Modul dokumen ekspor berisi panduan langkah demi langkah dan contoh output yang bisa diadaptasi peserta.,48,https://cdn.umkmtumbuh.local/materi/plt000020/modul-2.pdf,false,true,2025-03-21 23:56:28
MOD000115,PLT000020,3,3. Kemasan pengiriman,Modul kemasan pengiriman berisi panduan langkah demi langkah dan contoh output yang bisa diadaptasi peserta.,55,https://cdn.umkmtumbuh.local/materi/plt000020/modul-3.pdf,false,true,2025-03-21 23:56:28
