assignment_id,pelatihan_id,judul_assignment,deskripsi_assignment,instruksi_submission,due_days_after_enroll,status_aktif,created_at
ASN000011,PLT000006,Perhitungan HPP produk utama,Project file-upload: Perhitungan HPP produk utama. Output harus menunjukkan proses dan hasil penerapan pada UMKM peserta.,"Kumpulkan satu file utama berisi laporan praktik, dokumentasi foto/screenshot, dan refleksi singkat hasil implementasi pada usaha masing-masing.",15,true,2024-01-16 08:00:00
ASN000012,PLT000006,Simulasi harga jual dan margin,"Studi kasus terapan: Simulasi harga jual dan margin. Peserta menyiapkan dokumen kerja, bukti pendukung, dan rencana tindak lanjut.","Peserta wajib mengunggah file proyek final. Lampirkan data usaha seperlunya, contoh implementasi, dan rencana tindak lanjut setelah pelatihan.",17,true,2024-01-18 08:00:00
ASN000013,PLT000007,Audit toko marketplace,Tugas proyek: Audit toko marketplace. Peserta diminta membuat bukti praktik yang relevan dengan usaha masing-masing.,"Upload dokumen proyek yang menjelaskan masalah usaha, solusi yang diterapkan, output akhir, dan tautan/foto pendukung bila tersedia.",17,true,2024-01-18 08:00:00
ASN000014,PLT000008,Pitch deck produk ekspor,Project file-upload: Pitch deck produk ekspor. Output harus menunjukkan proses dan hasil penerapan pada UMKM peserta.,"Peserta wajib mengunggah file proyek final. Lampirkan data usaha seperlunya, contoh implementasi, dan rencana tindak lanjut setelah pelatihan.",16,true,2024-01-17 08:00:00
ASN000015,PLT000008,Rencana ekspor pemula,Tugas proyek: Rencana ekspor pemula. Peserta diminta membuat bukti praktik yang relevan dengan usaha masing-masing.,"Upload dokumen proyek yang menjelaskan masalah usaha, solusi yang diterapkan, output akhir, dan tautan/foto pendukung bila tersedia.",24,true,2024-01-25 08:00:00
ASN000016,PLT000008,Pitch deck produk ekspor,Tugas proyek: Pitch deck produk ekspor. Peserta diminta membuat bukti praktik yang relevan dengan usaha masing-masing.,"Kumpulkan satu file utama berisi laporan praktik, dokumentasi foto/screenshot, dan refleksi singkat hasil implementasi pada usaha masing-masing.",25,true,2024-01-26 08:00:00
ASN000017,PLT000009,Mockup desain kemasan,Project file-upload: Mockup desain kemasan. Output harus menunjukkan proses dan hasil penerapan pada UMKM peserta.,"Kumpulkan satu file utama berisi laporan praktik, dokumentasi foto/screenshot, dan refleksi singkat hasil implementasi pada usaha masing-masing.",18,true,2024-01-19 08:00:00
ASN000018,PLT000010,SOP customer service,Tugas proyek: SOP customer service. Peserta diminta membuat bukti praktik yang relevan dengan usaha masing-masing.,"Kumpulkan satu file utama berisi laporan praktik, dokumentasi foto/screenshot, dan refleksi singkat hasil implementasi pada usaha masing-masing.",19,true,2024-01-20 08:00:00
ASN000019,PLT000010,Simulasi penanganan komplain,Project file-upload: Simulasi penanganan komplain. Output harus menunjukkan proses dan hasil penerapan pada UMKM peserta.,"Kumpulkan satu file utama berisi laporan praktik, dokumentasi foto/screenshot, dan refleksi singkat hasil implementasi pada usaha masing-masing.",24,true,2024-01-25 08:00:00
ASN000020,PLT000011,SOP produksi harian,Tugas proyek: SOP produksi harian. Peserta diminta membuat bukti praktik yang relevan dengan usaha masing-masing.,"Kumpulkan satu file utama berisi laporan praktik, dokumentasi foto/screenshot, dan refleksi singkat hasil implementasi pada usaha masing-masing.",16,true,2024-01-17 08:00:00
ASN000021,PLT000011,Laporan perbaikan proses,"Studi kasus terapan: Laporan perbaikan proses. Peserta menyiapkan dokumen kerja, bukti pendukung, dan rencana tindak lanjut.","Upload dokumen proyek yang menjelaskan masalah usaha, solusi yang diterapkan, output akhir, dan tautan/foto pendukung bila tersedia.",21,true,2024-01-22 08:00:00
ASN000022,PLT000011,SOP produksi harian,Tugas proyek: SOP produksi harian. Peserta diminta membuat bukti praktik yang relevan dengan usaha masing-masing.,"Peserta wajib mengunggah file proyek final. Lampirkan data usaha seperlunya, contoh implementasi, dan rencana tindak lanjut setelah pelatihan.",22,true,2024-01-23 08:00:00
ASN000023,PLT000012,Pitch deck UMKM,Tugas proyek: Pitch deck UMKM. Peserta diminta membuat bukti praktik yang relevan dengan usaha masing-masing.,"Unggah file hasil proyek dalam format PDF/DOCX/XLSX/PPTX. File harus memuat identitas UMKM, kondisi awal, langkah pengerjaan, hasil akhir, dan bukti pendukung.",17,true,2024-01-18 08:00:00
ASN000024,PLT000012,Video pendek pitching usaha,"Studi kasus terapan: Video pendek pitching usaha. Peserta menyiapkan dokumen kerja, bukti pendukung, dan rencana tindak lanjut.","Peserta wajib mengunggah file proyek final. Lampirkan data usaha seperlunya, contoh implementasi, dan rencana tindak lanjut setelah pelatihan.",17,true,2024-01-18 08:00:00
ASN000025,PLT000013,Template pembukuan sederhana,Tugas proyek: Template pembukuan sederhana. Peserta diminta membuat bukti praktik yang relevan dengan usaha masing-masing.,"Kumpulkan satu file utama berisi laporan praktik, dokumentasi foto/screenshot, dan refleksi singkat hasil implementasi pada usaha masing-masing.",18,true,2024-01-19 08:00:00
ASN000026,PLT000013,Analisis laba rugi satu bulan,Tugas proyek: Analisis laba rugi satu bulan. Peserta diminta membuat bukti praktik yang relevan dengan usaha masing-masing.,"Upload dokumen proyek yang menjelaskan masalah usaha, solusi yang diterapkan, output akhir, dan tautan/foto pendukung bila tersedia.",22,true,2024-01-23 08:00:00
ASN000027,PLT000014,Rencana konten 14 hari,Project file-upload: Rencana konten 14 hari. Output harus menunjukkan proses dan hasil penerapan pada UMKM peserta.,"Kumpulkan satu file utama berisi laporan praktik, dokumentasi foto/screenshot, dan refleksi singkat hasil implementasi pada usaha masing-masing.",17,true,2024-01-18 08:00:00
ASN000028,PLT000014,Laporan evaluasi kampanye digital,Tugas proyek: Laporan evaluasi kampanye digital. Peserta diminta membuat bukti praktik yang relevan dengan usaha masing-masing.,"Unggah file hasil proyek dalam format PDF/DOCX/XLSX/PPTX. File harus memuat identitas UMKM, kondisi awal, langkah pengerjaan, hasil akhir, dan bukti pendukung.",23,true,2024-01-24 08:00:00
ASN000029,PLT000014,Rencana konten 14 hari,Tugas proyek: Rencana konten 14 hari. Peserta diminta membuat bukti praktik yang relevan dengan usaha masing-masing.,"Kumpulkan satu file utama berisi laporan praktik, dokumentasi foto/screenshot, dan refleksi singkat hasil implementasi pada usaha masing-masing.",29,true,2024-01-30 08:00:00
ASN000030,PLT000015,Portofolio foto produk,"Studi kasus terapan: Portofolio foto produk. Peserta menyiapkan dokumen kerja, bukti pendukung, dan rencana tindak lanjut.","Peserta wajib mengunggah file proyek final. Lampirkan data usaha seperlunya, contoh implementasi, dan rencana tindak lanjut setelah pelatihan.",15,true,2024-01-16 08:00:00
ASN000031,PLT000015,Katalog digital siap unggah,Project file-upload: Katalog digital siap unggah. Output harus menunjukkan proses dan hasil penerapan pada UMKM peserta.,"Unggah file hasil proyek dalam format PDF/DOCX/XLSX/PPTX. File harus memuat identitas UMKM, kondisi awal, langkah pengerjaan, hasil akhir, dan bukti pendukung.",23,true,2024-01-24 08:00:00
ASN000032,PLT000015,Portofolio foto produk,Project file-upload: Portofolio foto produk. Output harus menunjukkan proses dan hasil penerapan pada UMKM peserta.,"Kumpulkan satu file utama berisi laporan praktik, dokumentasi foto/screenshot, dan refleksi singkat hasil implementasi pada usaha masing-masing.",26,true,2024-01-27 08:00:00
ASN000033,PLT000016,Checklist legalitas usaha,Project file-upload: Checklist legalitas usaha. Output harus menunjukkan proses dan hasil penerapan pada UMKM peserta.,"Unggah file hasil proyek dalam format PDF/DOCX/XLSX/PPTX. File harus memuat identitas UMKM, kondisi awal, langkah pengerjaan, hasil akhir, dan bukti pendukung.",15,true,2024-01-16 08:00:00
ASN000034,PLT000016,Draft dokumen administrasi,"Studi kasus terapan: Draft dokumen administrasi. Peserta menyiapkan dokumen kerja, bukti pendukung, dan rencana tindak lanjut.","Kumpulkan satu file utama berisi laporan praktik, dokumentasi foto/screenshot, dan refleksi singkat hasil implementasi pada usaha masing-masing.",19,true,2024-01-20 08:00:00
ASN000035,PLT000017,Dokumen bahan dan pemasok,Tugas proyek: Dokumen bahan dan pemasok. Peserta diminta membuat bukti praktik yang relevan dengan usaha masing-masing.,"Unggah file hasil proyek dalam format PDF/DOCX/XLSX/PPTX. File harus memuat identitas UMKM, kondisi awal, langkah pengerjaan, hasil akhir, dan bukti pendukung.",17,true,2024-01-18 08:00:00
ASN000036,PLT000018,Perhitungan HPP produk utama,Tugas proyek: Perhitungan HPP produk utama. Peserta diminta membuat bukti praktik yang relevan dengan usaha masing-masing.,"Upload dokumen proyek yang menjelaskan masalah usaha, solusi yang diterapkan, output akhir, dan tautan/foto pendukung bila tersedia.",16,true,2024-01-17 08:00:00
ASN000037,PLT000018,Simulasi harga jual dan margin,Tugas proyek: Simulasi harga jual dan margin. Peserta diminta membuat bukti praktik yang relevan dengan usaha masing-masing.,"Peserta wajib mengunggah file proyek final. Lampirkan data usaha seperlunya, contoh implementasi, dan rencana tindak lanjut setelah pelatihan.",18,true,2024-01-19 08:00:00
ASN000038,PLT000019,Audit toko marketplace,Tugas proyek: Audit toko marketplace. Peserta diminta membuat bukti praktik yang relevan dengan usaha masing-masing.,"Unggah file hasil proyek dalam format PDF/DOCX/XLSX/PPTX. File harus memuat identitas UMKM, kondisi awal, langkah pengerjaan, hasil akhir, dan bukti pendukung.",17,true,2024-01-18 08:00:00
ASN000039,PLT000019,Rencana optimasi listing produk,Project file-upload: Rencana optimasi listing produk. Output harus menunjukkan proses dan hasil penerapan pada UMKM peserta.,"Unggah file hasil proyek dalam format PDF/DOCX/XLSX/PPTX. File harus memuat identitas UMKM, kondisi awal, langkah pengerjaan, hasil akhir, dan bukti pendukung.",24,true,2024-01-25 08:00:00
ASN000040,PLT000020,Pitch deck produk ekspor,Project file-upload: Pitch deck produk ekspor. Output harus menunjukkan proses dan hasil penerapan pada UMKM peserta.,"Upload dokumen proyek yang menjelaskan masalah usaha, solusi yang diterapkan, output akhir, dan tautan/foto pendukung bila tersedia.",12,true,2024-01-13 08:00:00
ASN000041,PLT000020,Rencana ekspor pemula,"Studi kasus terapan: Rencana ekspor pemula. Peserta menyiapkan dokumen kerja, bukti pendukung, dan rencana tindak lanjut.","Peserta wajib mengunggah file proyek final. Lampirkan data usaha seperlunya, contoh implementasi, dan rencana tindak lanjut setelah pelatihan.",17,true,2024-01-18 08:00:00
ASN000042,PLT000020,Pitch deck produk ekspor,"Studi kasus terapan: Pitch deck produk ekspor. Peserta menyiapkan dokumen kerja, bukti pendukung, dan rencana tindak lanjut.","Kumpulkan satu file utama berisi laporan praktik, dokumentasi foto/screenshot, dan refleksi singkat hasil implementasi pada usaha masing-masing.",24,true,2024-01-25 08:00:00
ASN000043,PLT000021,Mockup desain kemasan,"Studi kasus terapan: Mockup desain kemasan. Peserta menyiapkan dokumen kerja, bukti pendukung, dan rencana tindak lanjut.","Peserta wajib mengunggah file proyek final. Lampirkan data usaha seperlunya, contoh implementasi, dan rencana tindak lanjut setelah pelatihan.",13,true,2024-01-14 08:00:00
ASN000044,PLT000022,SOP customer service,"Studi kasus terapan: SOP customer service. Peserta menyiapkan dokumen kerja, bukti pendukung, dan rencana tindak lanjut.","Peserta wajib mengunggah file proyek final. Lampirkan data usaha seperlunya, contoh implementasi, dan rencana tindak lanjut setelah pelatihan.",13,true,2024-01-14 08:00:00
ASN000045,PLT000022,Simulasi penanganan komplain,Tugas proyek: Simulasi penanganan komplain. Peserta diminta membuat bukti praktik yang relevan dengan usaha masing-masing.,"Peserta wajib mengunggah file proyek final. Lampirkan data usaha seperlunya, contoh implementasi, dan rencana tindak lanjut setelah pelatihan.",24,true,2024-01-25 08:00:00
ASN000046,PLT000022,SOP customer service,Project file-upload: SOP customer service. Output harus menunjukkan proses dan hasil penerapan pada UMKM peserta.,"Upload dokumen proyek yang menjelaskan masalah usaha, solusi yang diterapkan, output akhir, dan tautan/foto pendukung bila tersedia.",29,true,2024-01-30 08:00:00
ASN000047,PLT000023,SOP produksi harian,Project file-upload: SOP produksi harian. Output harus menunjukkan proses dan hasil penerapan pada UMKM peserta.,"Unggah file hasil proyek dalam format PDF/DOCX/XLSX/PPTX. File harus memuat identitas UMKM, kondisi awal, langkah pengerjaan, hasil akhir, dan bukti pendukung.",12,true,2024-01-13 08:00:00
ASN000048,PLT000023,Laporan perbaikan proses,Project file-upload: Laporan perbaikan proses. Output harus menunjukkan proses dan hasil penerapan pada UMKM peserta.,"Kumpulkan satu file utama berisi laporan praktik, dokumentasi foto/screenshot, dan refleksi singkat hasil implementasi pada usaha masing-masing.",19,true,2024-01-20 08:00:00
ASN000049,PLT000024,Pitch deck UMKM,Tugas proyek: Pitch deck UMKM. Peserta diminta membuat bukti praktik yang relevan dengan usaha masing-masing.,"Peserta wajib mengunggah file proyek final. Lampirkan data usaha seperlunya, contoh implementasi, dan rencana tindak lanjut setelah pelatihan.",15,true,2024-01-16 08:00:00
ASN000050,PLT000024,Video pendek pitching usaha,Project file-upload: Video pendek pitching usaha. Output harus menunjukkan proses dan hasil penerapan pada UMKM peserta.,"Unggah file hasil proyek dalam format PDF/DOCX/XLSX/PPTX. File harus memuat identitas UMKM, kondisi awal, langkah pengerjaan, hasil akhir, dan bukti pendukung.",23,true,2024-01-24 08:00:00
ASN000051,PLT000024,Pitch deck UMKM,Tugas proyek: Pitch deck UMKM. Peserta diminta membuat bukti praktik yang relevan dengan usaha masing-masing.,"Unggah file hasil proyek dalam format PDF/DOCX/XLSX/PPTX. File harus memuat identitas UMKM, kondisi awal, langkah pengerjaan, hasil akhir, dan bukti pendukung.",26,true,2024-01-27 08:00:00
ASN000052,PLT000025,Template pembukuan sederhana,Project file-upload: Template pembukuan sederhana. Output harus menunjukkan proses dan hasil penerapan pada UMKM peserta.,"Kumpulkan satu file utama berisi laporan praktik, dokumentasi foto/screenshot, dan refleksi singkat hasil implementasi pada usaha masing-masing.",18,true,2024-01-19 08:00:00
ASN000053,PLT000025,Analisis laba rugi satu bulan,Tugas proyek: Analisis laba rugi satu bulan. Peserta diminta membuat bukti praktik yang relevan dengan usaha masing-masing.,"Unggah file hasil proyek dalam format PDF/DOCX/XLSX/PPTX. File harus memuat identitas UMKM, kondisi awal, langkah pengerjaan, hasil akhir, dan bukti pendukung.",23,true,2024-01-24 08:00:00
ASN000054,PLT000026,Rencana konten 14 hari,Project file-upload: Rencana konten 14 hari. Output harus menunjukkan proses dan hasil penerapan pada UMKM peserta.,"Upload dokumen proyek yang menjelaskan masalah usaha, solusi yang diterapkan, output akhir, dan tautan/foto pendukung bila tersedia.",18,true,2024-01-19 08:00:00
ASN000055,PLT000027,Portofolio foto produk,Tugas proyek: Portofolio foto produk. Peserta diminta membuat bukti praktik yang relevan dengan usaha masing-masing.,"Upload dokumen proyek yang menjelaskan masalah usaha, solusi yang diterapkan, output akhir, dan tautan/foto pendukung bila tersedia.",14,true,2024-01-15 08:00:00
ASN000056,PLT000027,Katalog digital siap unggah,Tugas proyek: Katalog digital siap unggah. Peserta diminta membuat bukti praktik yang relevan dengan usaha masing-masing.,"Kumpulkan satu file utama berisi laporan praktik, dokumentasi foto/screenshot, dan refleksi singkat hasil implementasi pada usaha masing-masing.",24,true,2024-01-25 08:00:00
ASN000057,PLT000027,Portofolio foto produk,"Studi kasus terapan: Portofolio foto produk. Peserta menyiapkan dokumen kerja, bukti pendukung, dan rencana tindak lanjut.","Kumpulkan satu file utama berisi laporan praktik, dokumentasi foto/screenshot, dan refleksi singkat hasil implementasi pada usaha masing-masing.",26,true,2024-01-27 08:00:00
ASN000058,PLT000028,Checklist legalitas usaha,Tugas proyek: Checklist legalitas usaha. Peserta diminta membuat bukti praktik yang relevan dengan usaha masing-masing.,"Kumpulkan satu file utama berisi laporan praktik, dokumentasi foto/screenshot, dan refleksi singkat hasil implementasi pada usaha masing-masing.",14,true,2024-01-15 08:00:00
ASN000059,PLT000028,Draft dokumen administrasi,Tugas proyek: Draft dokumen administrasi. Peserta diminta membuat bukti praktik yang relevan dengan usaha masing-masing.,"Upload dokumen proyek yang menjelaskan masalah usaha, solusi yang diterapkan, output akhir, dan tautan/foto pendukung bila tersedia.",21,true,2024-01-22 08:00:00
ASN000060,PLT000028,Checklist legalitas usaha,"Studi kasus terapan: Checklist legalitas usaha. Peserta menyiapkan dokumen kerja, bukti pendukung, dan rencana tindak lanjut.","Peserta wajib mengunggah file proyek final. Lampirkan data usaha seperlunya, contoh implementasi, dan rencana tindak lanjut setelah pelatihan.",22,true,2024-01-23 08:00:00
ASN000061,PLT000029,Dokumen bahan dan pemasok,"Studi kasus terapan: Dokumen bahan dan pemasok. Peserta menyiapkan dokumen kerja, bukti pendukung, dan rencana tindak lanjut.","Upload dokumen proyek yang menjelaskan masalah usaha, solusi yang diterapkan, output akhir, dan tautan/foto pendukung bila tersedia.",17,true,2024-01-18 08:00:00
ASN000062,PLT000030,Perhitungan HPP produk utama,Tugas proyek: Perhitungan HPP produk utama. Peserta diminta membuat bukti praktik yang relevan dengan usaha masing-masing.,"Upload dokumen proyek yang menjelaskan masalah usaha, solusi yang diterapkan, output akhir, dan tautan/foto pendukung bila tersedia.",13,true,2024-01-14 08:00:00
ASN000063,PLT000030,Simulasi harga jual dan margin,"Studi kasus terapan: Simulasi harga jual dan margin. Peserta menyiapkan dokumen kerja, bukti pendukung, dan rencana tindak lanjut.","Kumpulkan satu file utama berisi laporan praktik, dokumentasi foto/screenshot, dan refleksi singkat hasil implementasi pada usaha masing-masing.",24,true,2024-01-25 08:00:00
ASN000064,PLT000031,Audit toko marketplace,"Studi kasus terapan: Audit toko marketplace. Peserta menyiapkan dokumen kerja, bukti pendukung, dan rencana tindak lanjut.","Peserta wajib mengunggah file proyek final. Lampirkan data usaha seperlunya, contoh implementasi, dan rencana tindak lanjut setelah pelatihan.",15,true,2024-01-16 08:00:00
ASN000065,PLT000032,Pitch deck produk ekspor,Project file-upload: Pitch deck produk ekspor. Output harus menunjukkan proses dan hasil penerapan pada UMKM peserta.,"Unggah file hasil proyek dalam format PDF/DOCX/XLSX/PPTX. File harus memuat identitas UMKM, kondisi awal, langkah pengerjaan, hasil akhir, dan bukti pendukung.",14,true,2024-01-15 08:00:00
ASN000066,PLT000032,Rencana ekspor pemula,Project file-upload: Rencana ekspor pemula. Output harus menunjukkan proses dan hasil penerapan pada UMKM peserta.,"Unggah file hasil proyek dalam format PDF/DOCX/XLSX/PPTX. File harus memuat identitas UMKM, kondisi awal, langkah pengerjaan, hasil akhir, dan bukti pendukung.",24,true,2024-01-25 08:00:00
ASN000067,PLT000033,Mockup desain kemasan,Project file-upload: Mockup desain kemasan. Output harus menunjukkan proses dan hasil penerapan pada UMKM peserta.,"Peserta wajib mengunggah file proyek final. Lampirkan data usaha seperlunya, contoh implementasi, dan rencana tindak lanjut setelah pelatihan.",15,true,2024-01-16 08:00:00
ASN000068,PLT000033,Brand guideline sederhana,Project file-upload: Brand guideline sederhana. Output harus menunjukkan proses dan hasil penerapan pada UMKM peserta.,"Upload dokumen proyek yang menjelaskan masalah usaha, solusi yang diterapkan, output akhir, dan tautan/foto pendukung bila tersedia.",19,true,2024-01-20 08:00:00
ASN000069,PLT000034,SOP customer service,Project file-upload: SOP customer service. Output harus menunjukkan proses dan hasil penerapan pada UMKM peserta.,"Upload dokumen proyek yang menjelaskan masalah usaha, solusi yang diterapkan, output akhir, dan tautan/foto pendukung bila tersedia.",17,true,2024-01-18 08:00:00
ASN000070,PLT000035,SOP produksi harian,"Studi kasus terapan: SOP produksi harian. Peserta menyiapkan dokumen kerja, bukti pendukung, dan rencana tindak lanjut.","Peserta wajib mengunggah file proyek final. Lampirkan data usaha seperlunya, contoh implementasi, dan rencana tindak lanjut setelah pelatihan.",18,true,2024-01-19 08:00:00
ASN000071,PLT000035,Laporan perbaikan proses,Tugas proyek: Laporan perbaikan proses. Peserta diminta membuat bukti praktik yang relevan dengan usaha masing-masing.,"Kumpulkan satu file utama berisi laporan praktik, dokumentasi foto/screenshot, dan refleksi singkat hasil implementasi pada usaha masing-masing.",18,true,2024-01-19 08:00:00
ASN000072,PLT000035,SOP produksi harian,Tugas proyek: SOP produksi harian. Peserta diminta membuat bukti praktik yang relevan dengan usaha masing-masing.,"Unggah file hasil proyek dalam format PDF/DOCX/XLSX/PPTX. File harus memuat identitas UMKM, kondisi awal, langkah pengerjaan, hasil akhir, dan bukti pendukung.",23,true,2024-01-24 08:00:00
ASN000073,PLT000036,Pitch deck UMKM,"Studi kasus terapan: Pitch deck UMKM. Peserta menyiapkan dokumen kerja, bukti pendukung, dan rencana tindak lanjut.","Unggah file hasil proyek dalam format PDF/DOCX/XLSX/PPTX. File harus memuat identitas UMKM, kondisi awal, langkah pengerjaan, hasil akhir, dan bukti pendukung.",15,true,2024-01-16 08:00:00
ASN000074,PLT000037,Template pembukuan sederhana,"Studi kasus terapan: Template pembukuan sederhana. Peserta menyiapkan dokumen kerja, bukti pendukung, dan rencana tindak lanjut.","Unggah file hasil proyek dalam format PDF/DOCX/XLSX/PPTX. File harus memuat identitas UMKM, kondisi awal, langkah pengerjaan, hasil akhir, dan bukti pendukung.",14,true,2024-01-15 08:00:00
ASN000075,PLT000037,Analisis laba rugi satu bulan,Tugas proyek: Analisis laba rugi satu bulan. Peserta diminta membuat bukti praktik yang relevan dengan usaha masing-masing.,"Upload dokumen proyek yang menjelaskan masalah usaha, solusi yang diterapkan, output akhir, dan tautan/foto pendukung bila tersedia.",20,true,2024-01-21 08:00:00
ASN000076,PLT000037,Template pembukuan sederhana,Project file-upload: Template pembukuan sederhana. Output harus menunjukkan proses dan hasil penerapan pada UMKM peserta.,"Unggah file hasil proyek dalam format PDF/DOCX/XLSX/PPTX. File harus memuat identitas UMKM, kondisi awal, langkah pengerjaan, hasil akhir, dan bukti pendukung.",24,true,2024-01-25 08:00:00
ASN000077,PLT000038,Rencana konten 14 hari,Project file-upload: Rencana konten 14 hari. Output harus menunjukkan proses dan hasil penerapan pada UMKM peserta.,"Upload dokumen proyek yang menjelaskan masalah usaha, solusi yang diterapkan, output akhir, dan tautan/foto pendukung bila tersedia.",17,true,2024-01-18 08:00:00
ASN000078,PLT000038,Laporan evaluasi kampanye digital,Project file-upload: Laporan evaluasi kampanye digital. Output harus menunjukkan proses dan hasil penerapan pada UMKM peserta.,"Upload dokumen proyek yang menjelaskan masalah usaha, solusi yang diterapkan, output akhir, dan tautan/foto pendukung bila tersedia.",24,true,2024-01-25 08:00:00
ASN000079,PLT000039,Portofolio foto produk,"Studi kasus terapan: Portofolio foto produk. Peserta menyiapkan dokumen kerja, bukti pendukung, dan rencana tindak lanjut.","Peserta wajib mengunggah file proyek final. Lampirkan data usaha seperlunya, contoh implementasi, dan rencana tindak lanjut setelah pelatihan.",12,true,2024-01-13 08:00:00
ASN000080,PLT000039,Katalog digital siap unggah,Project file-upload: Katalog digital siap unggah. Output harus menunjukkan proses dan hasil penerapan pada UMKM peserta.,"Upload dokumen proyek yang menjelaskan masalah usaha, solusi yang diterapkan, output akhir, dan tautan/foto pendukung bila tersedia.",20,true,2024-01-21 08:00:00
ASN000081,PLT000040,Checklist legalitas usaha,"Studi kasus terapan: Checklist legalitas usaha. Peserta menyiapkan dokumen kerja, bukti pendukung, dan rencana tindak lanjut.","Peserta wajib mengunggah file proyek final. Lampirkan data usaha seperlunya, contoh implementasi, dan rencana tindak lanjut setelah pelatihan.",15,true,2024-01-16 08:00:00
ASN000082,PLT000041,Dokumen bahan dan pemasok,Tugas proyek: Dokumen bahan dan pemasok. Peserta diminta membuat bukti praktik yang relevan dengan usaha masing-masing.,"Unggah file hasil proyek dalam format PDF/DOCX/XLSX/PPTX. File harus memuat identitas UMKM, kondisi awal, langkah pengerjaan, hasil akhir, dan bukti pendukung.",15,true,2024-01-16 08:00:00
ASN000083,PLT000042,Perhitungan HPP produk utama,Tugas proyek: Perhitungan HPP produk utama. Peserta diminta membuat bukti praktik yang relevan dengan usaha masing-masing.,"Peserta wajib mengunggah file proyek final. Lampirkan data usaha seperlunya, contoh implementasi, dan rencana tindak lanjut setelah pelatihan.",18,true,2024-01-19 08:00:00
ASN000084,PLT000042,Simulasi harga jual dan margin,"Studi kasus terapan: Simulasi harga jual dan margin. Peserta menyiapkan dokumen kerja, bukti pendukung, dan rencana tindak lanjut.","Unggah file hasil proyek dalam format PDF/DOCX/XLSX/PPTX. File harus memuat identitas UMKM, kondisi awal, langkah pengerjaan, hasil akhir, dan bukti pendukung.",21,true,2024-01-22 08:00:00
